champs,event_code,discipline,sex,constraint,place,ATHLETE,COUNTRY,RESULT,clesnsed_result,resultscore,
WC_2023,1500m,1500 Meters,M,time,6,Mario GARCÍA,ESP,3:30.26,210.26,1241,
WC_2023,1500m,1500 Meters,M,time,7,Cole HOCKER,USA,3:30.70,211.70,1221,
WC_2023,1500m,1500 Meters,M,time,8,Reynold Kipkorir CHERUIYOT,KEN,3:30.78,211.78,1220,
WC_2023,1500m,1500 Meters,M,time,9,Neil GOURLEY,GBR,3:31.10,211.10,1229,
WC_2023,1500m,1500 Meters,M,time,10,Niels LAROS,NED,3:31.25,211.25,1227,
WC_2023,1500m,1500 Meters,M,time,11,Azeddine HABZ,FRA,3:33.14,213.14,1200,
WC_2023,1500m,1500 Meters,M,time,12,Isaac NADER,POR,3:35.41,215.41,1169,
WC_2023,5000m,5000 Meters,M,time,1,Jakob INGEBRIGTSEN,NOR,13:11.30,791.30,1169,
WC_2023,5000m,5000 Meters,M,time,2,Mohamed KATIR,ESP,13:11.44,791.44,1168,
WC_2023,5000m,5000 Meters,M,time,3,Jacob KROP,KEN,13:12.28,792.28,1165,
WC_2023,5000m,5000 Meters,M,time,4,Luis GRIJALVA,GUA,13:12.50,793.50,1161,
WC_2023,5000m,5000 Meters,M,time,5,Yomif KEJELCHA,ETH,13:12.51,793.51,1161,
WC_2023,5000m,5000 Meters,M,time,6,Hagos GEBRHIWET,ETH,13:12.65,793.65,1160,
WC_2023,5000m,5000 Meters,M,time,7,Mohammed AHMED,CAN,13:12.92,793.92,1159,
WC_2023,5000m,5000 Meters,M,time,8,Berihu AREGAWI,ETH,13:12.99,793.99,1159,
WC_2023,5000m,5000 Meters,M,time,9,Jimmy GRESSIER,FRA,13:17.20,797.20,1147,
WC_2023,5000m,5000 Meters,M,time,10,Ishmael Rokitto KIPKURUI,KEN,13:21.20,801.20,1133,
WC_2023,5000m,5000 Meters,M,time,11,Mohamed ISMAIL,DJI,13:23.89,804.89,1120,
WC_2023,5000m,5000 Meters,M,time,12,Abdihamid NUR,USA,13:23.90,804.90,1120,
WC_2023,5000m,5000 Meters,M,time,13,Stewart MCSWEYN,AUS,13:26.58,807.58,1111,
WC_2023,5000m,5000 Meters,M,time,14,Narve Gilje NORDÅS,NOR,13:28.73,809.73,1103,
WC_2023,5000m,5000 Meters,M,time,15,Paul CHELIMO,USA,13:30.88,811.88,1096,
WC_2023,5000m,5000 Meters,M,time,16,Ouassim OUMAIZ,ESP,13:31.99,812.99,1092,
WC_2023,10000m,10000 Metres,M,time,1,Joshua CHEPTEGEI,UGA,27:51.42,1671.42,1145,
WC_2023,10000m,10000 Metres,M,time,2,Daniel Simiu EBENYO,KEN,27:52.60,1673.60,1142,
WC_2023,10000m,10000 Metres,M,time,3,Selemon BAREGA,ETH,27:52.72,1673.72,1142,
WC_2023,10000m,10000 Metres,M,time,4,Berihu AREGAWI,ETH,27:55.71,1676.71,1137,
